source,target,value,cluster,level_source,level_target
going shopping,shopping home goods/ furniture,1,,3,1
online shopping,shopping clothing,1,,3,1
online shopping,buying jewlery,1,,3,1
online shopping,shopping home goods/ furniture,1,,3,1
Digital,listening to music/ radio,1,,4,1
Digital,listening to a podcast,1,,4,1
Digital,watching sport (tv),1,,4,1
Digital,watching videos/ TV shows/ Movies,1,,4,1
Digital,watching/ reading news,1,,4,1
Digital,browsing on the laptop,1,,4,3
browsing on the laptop,social media use,1,,3,2
Digital,browsing on the phone,1,,4,3
browsing on the phone,social media use,1,,3,2
browsing on the laptop,texting/ chatting/checking messages,1,,3,1
browsing on the laptop,emailing,1,,3,1
browsing on the laptop,(video) calling,1,,3,1
browsing on the phone,texting/ chatting/checking messages,1,,3,1
browsing on the phone,emailing,1,,3,1
browsing on the phone,(video) calling,1,,3,1
Religion,religious activities,1,,4,3
religious activities,going to church,1,,3,1
Travel,traveling,1,,4,3
traveling,city trip/ vacation,1,,3,2
traveling,sightseeing,1,,3,2
Transport,traveling,1,,4,3
traveling,taking a flight,1,,3,1
traveling,taking/ waiting for public transportation,1,,3,1
traveling,walking,1,,3,1
traveling,biking/ cycling,1,,3,1
traveling,traveling by car,1,,3,1
traveling,going home,1,,3,1
Other,procrastinating,1,,4,1
Other,meditating,1,,4,1
Other,thinking,1,,4,1
